date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-02-19,21.717316,16.827545,878.95874,-0.9601059,-0.24649048,25.712254,73.753944,0.9912421,0.126
1990-02-20,22.493683,16.90567,877.2997,-0.089515686,-0.4237938,25.813927,70.69562,0.4331446,0.33
1990-02-21,21.543915,17.527191,876.41266,0.05712509,-0.47551346,29.464825,77.91344,0.4789325,10.13
1990-02-22,22.178009,18.169952,877.58966,-0.82738876,-0.36715698,31.495537,78.04953,0.9051941,3.81
1990-02-23,21.214203,18.915985,877.9314,-0.90428925,0.5725746,34.339474,86.74341,1.0703181,12.545
1990-02-24,21.30307,18.849884,877.5594,-2.1528893,-0.3994217,29.757374,85.91665,2.189628,7.557
1990-02-25,20.084198,18.398895,879.23,-2.3418083,-0.45090866,33.34065,90.037575,2.3848238,16.953
1990-02-26,20.503204,17.787506,881.7491,-1.7770653,-0.10759354,28.951767,84.431274,1.7803195,6.091
1990-02-27,19.574371,13.727173,882.52966,-2.5403633,1.3472862,17.829906,68.97357,2.875522,0.16
1990-02-28,19.456207,14.103546,881.33575,-2.5833206,1.3629799,19.391048,71.19937,2.920832,0.0
1990-03-01,20.388885,15.131195,880.2413,-1.640171,-0.26184082,22.40923,71.809425,1.6609399,0.131
1990-03-02,21.266052,15.511475,880.8053,-1.5206375,-0.6003418,23.942245,69.717636,1.6348543,0.072
1990-03-03,21.197296,14.62558,880.85345,-1.517559,-0.76142883,22.01986,66.1357,1.6978691,0.0
1990-03-04,22.179962,15.392853,880.83844,-0.7256775,0.5733528,29.214954,65.431404,0.9248466,0.14
1990-03-05,20.58908,15.66922,880.85956,-2.2870789,0.69931793,22.210762,73.418274,2.3916051,0.697
1990-03-06,20.00644,14.822601,880.8205,-2.695713,-0.65314484,20.198967,72.08178,2.77371,1.344
1990-03-07,19.868317,13.51474,881.04956,-1.7318497,-1.0653992,20.163128,66.79798,2.0333173,0.406
1990-03-08,21.418152,15.627228,881.84705,-2.0212402,-0.68276596,25.899979,69.584785,2.1334436,0.768
1990-03-09,21.875702,17.14273,882.5433,-2.4073486,-0.4619217,31.631748,74.51718,2.4512649,1.342
1990-03-10,21.561157,16.35028,883.3528,-2.7668839,-0.3861122,26.718315,72.237114,2.7936945,1.487
1990-03-11,20.768341,14.598358,883.21533,-2.5459442,-0.5397682,23.153946,67.783005,2.6025338,0.13
1990-03-12,20.820679,13.517242,881.77203,-2.424427,-0.3696823,20.037676,62.993294,2.45245,0.003
